repeat,fold,scoring,model,model_label,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
4,4,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9216054013503376,0.9152542372881356,0.9324324324324325,0.9642857142857143,0.8709677419354839,0.06904770408052935,0.08965179391915998
4,5,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.8910394265232975,0.8571428571428571,0.881578947368421,0.84375,0.8709677419354839,0.10447240865145994,0.08100535504344654
4,5,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9017921146953405,0.8571428571428571,0.881578947368421,0.84375,0.8709677419354839,0.10175188006287715,0.06791365427797624
4,5,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,1.0,None,0.8788530465949822,0.8571428571428571,0.881578947368421,0.84375,0.8709677419354839,0.10831062255309565,0.06186727128912701
4,5,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.8896057347670251,0.8571428571428571,0.881578947368421,0.84375,0.8709677419354839,0.10029489201793655,0.08285202625252003
4,5,neg_log_loss,compressed,Compressed Derived,0.1,None,0.8752688172043012,0.8571428571428571,0.881578947368421,0.84375,0.8709677419354839,0.10645602577509089,0.08015574846289711
4,5,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.8752688172043012,0.8571428571428571,0.881578947368421,0.84375,0.8709677419354839,0.10648238318000904,0.07843510880453927
5,1,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.9791055718475073,0.9523809523809523,0.96,0.9375,0.967741935483871,0.03803849391912914,0.03735048032149559
5,1,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,1.0,None,0.9794721407624633,0.9523809523809523,0.96,0.9375,0.967741935483871,0.03991238918756083,0.040991976740553236
5,1,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9809384164222874,0.9523809523809523,0.96,0.9375,0.967741935483871,0.04142303790555876,0.06861425417635375
5,1,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9776392961876833,0.9523809523809523,0.96,0.9375,0.967741935483871,0.03861808102997996,0.03907514911719236
5,1,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9813049853372434,0.9523809523809523,0.96,0.9375,0.967741935483871,0.04044469158748858,0.06099488964855194
5,1,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9813049853372434,0.9523809523809523,0.96,0.9375,0.967741935483871,0.03939590838497766,0.05505945134590752
5,2,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.937683284457478,0.8852459016393442,0.9066666666666666,0.9,0.8709677419354839,0.0777614485566949,0.1004102590467
5,2,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9428152492668621,0.8852459016393442,0.9066666666666666,0.9,0.8709677419354839,0.08534022258484177,0.1036579022616208
5,2,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9303519061583577,0.8852459016393442,0.9066666666666666,0.9,0.8709677419354839,0.0848039705757049,0.09601091394117198
5,2,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9450146627565982,0.8852459016393442,0.9066666666666666,0.9,0.8709677419354839,0.07773545326752783,0.09820064588535848
5,2,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9391495601173021,0.8852459016393442,0.9066666666666666,0.9,0.8709677419354839,0.08008922786336016,0.10523564620566875
5,2,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9391495601173021,0.8852459016393442,0.9066666666666666,0.9,0.8709677419354839,0.07864981460236423,0.09639497989844668
5,3,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.9032258064516129,0.8955223880597015,0.9054054054054054,0.8333333333333334,0.967741935483871,0.09705193493303145,0.09860491255631625
5,3,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,1.0,None,0.8972243060765192,0.8955223880597015,0.9054054054054054,0.8333333333333334,0.967741935483871,0.10021661234328368,0.11960784187568298
5,3,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,1.0,None,0.9024756189047262,0.8955223880597015,0.9054054054054054,0.8333333333333334,0.967741935483871,0.09975100574994226,0.11606011755125294
5,3,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9032258064516129,0.8955223880597015,0.9054054054054054,0.8333333333333334,0.967741935483871,0.09648036562877856,0.0981863535824756
5,3,neg_log_loss,compressed,Compressed Derived,1.0,None,0.9024756189047262,0.8695652173913043,0.8783783783783784,0.7894736842105263,0.967741935483871,0.1011865730140731,0.11365409400243195
5,3,neg_log_loss,enhanced,Compressed + Interaction,1.0,None,0.905476369092273,0.8695652173913043,0.8783783783783784,0.7894736842105263,0.967741935483871,0.10153239660663642,0.11691459325006132
5,4,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.9189797449362341,0.8888888888888888,0.9054054054054054,0.875,0.9032258064516129,0.06947092105333937,0.08624573693267541
5,4,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.940735183795949,0.8888888888888888,0.9054054054054054,0.875,0.9032258064516129,0.0794920812933108,0.08789946463551916
5,4,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,1.0,None,0.9444861215303827,0.8888888888888888,0.9054054054054054,0.875,0.9032258064516129,0.0779799459719173,0.09280343728144165
5,4,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.918979744936234,0.8888888888888888,0.9054054054054054,0.875,0.9032258064516129,0.07464699340008757,0.0928571764953357
5,4,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9212303075768943,0.8888888888888888,0.9054054054054054,0.875,0.9032258064516129,0.07560131331452921,0.1195796718938561
5,4,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9212303075768942,0.8888888888888888,0.9054054054054054,0.875,0.9032258064516129,0.07643076956767154,0.11231306388827834
5,5,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9218637992831541,0.8571428571428571,0.8947368421052632,0.96,0.7741935483870968,0.0816698349895165,0.08671528316222263
5,5,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,1.0,None,0.8903225806451613,0.8571428571428571,0.8947368421052632,0.96,0.7741935483870968,0.09403449464693217,0.10130659815497281
5,5,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9082437275985664,0.8571428571428571,0.8947368421052632,0.96,0.7741935483870968,0.08753893730274906,0.07917666139377803
